Name,Team,Level,Position,Type,Last Updated,AVG,GP,GS,AB,R,H,2B,3B,HR,RBI,SLG,BB,HP,K,OBP,SB,ATT,ERA,W,L,APP,GS_P,SV,IP,H_P,R_P,ER,BB_P,K_P,WHIP
Jarren Advincula,Georgia Tech,D1,IF,Hitting,2026-02-26,.389,9,9,36,10,14,0,0,1,12,.472,6,3,3,.511,3,3,,,,,,,,,,,,,
Ian Armstrong,Saint Mary's College,D1,C,Hitting,2026-02-26,.267,7,7,30,6,8,3,0,1,2,.467,2,0,4,.313,0,0,,,,,,,,,,,,,
Makoa Sniffen,Saint Mary's College,D1,1B,Hitting,2026-02-26,.320,6,6,25,6,8,1,1,3,9,.800,0,1,5,.333,0,1,,,,,,,,,,,,,
Ian Josephson,Saint Mary's College,D1,INF,Hitting,2026-02-26,.500,3,0,4,2,2,1,0,0,1,.750,0,0,1,.500,1,1,,,,,,,,,,,,,
Sam Kretsch,Saint Mary's College,D1,P,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,10.50,0,0,3,0,1,6.0,7,7,7,7,5,2.33
Mason Pound,Gavilan,JC,P,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,3.96,2,,5,4,0,25.0,26,12,11,8,10,1.36
Lucas Carlisle,Santa Barbara City,JC,INF,Hitting,2026-02-26,.319,14,,47,,15,6,-,-,12,.447,7,-,10,.393,,,,,,,,,,,,,,,
Tyler Harrison,San Mateo,JC,OF,Hitting,2026-02-26,.286,10,,35,,10,3,-,-,4,.371,2,1,10,.333,,,,,,,,,,,,,,,
Greyson Munoz,San Mateo,JC,1B,Hitting,2026-02-26,.364,7,,11,,4,1,-,-,3,.455,-,-,3,.364,,,,,,,,,,,,,,,
Dom Poole,San Mateo,JC,C,Hitting,2026-02-26,.308,6,,13,,4,1,-,-,1,.385,5,-,2,.500,,,,,,,,,,,,,,,
Lucas Schumaker,San Mateo,JC,OF,Hitting,2026-02-26,.222,11,,27,,6,1,-,-,5,.259,2,1,4,.300,,,,,,,,,,,,,,,
A.J. Minyard,San Mateo,JC,P ,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,3.27,1,,5,4,1,22.0,22,9,8,4,12,1.18
Toby Trotter,San Mateo,JC,P ,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,6.75,0,,4,0,0,9.1,12,7,7,5,14,1.82
Henry Harding,Holy Cross,D1,P ,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,5.06,0,0,2,0,0,5.1,7,5,3,3,6,1.88
Emmett Heath,Pomona Pitzer,D3,P ,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,27.00,0,0,1,0,0,1.0,3,3,3,1,0,4.00
Devin Saltzgaber,Pomona Pitzer,D3,P,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,0.00,0,0,2,0,1,4.1,3,0,0,2,7,1.22
Drew Dillehay,Pomona Pitzer,D3,C ,Hitting,2026-02-26,.000,4,2,5,3,0,0,0,0,2,.000,2,1,2,.375,0,0,,,,,,,,,,,,,
Josh Jannicelli,UC Santa Barbara,D1,P ,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,2.25,0,1,2,1,0,4.0,1,2,1,4,7,1.25
Jack Jones,Cal State Northridge,D1,P ,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,11.57,0,0,2,0,0,4.2,9,8,6,1,4,2.14
Brandon Kim,De Anza,JC,OF,Hitting,2026-02-26,.188,4,,16,,3,-,-,-,0,.188,-,-,4,.188,,,,,,,,,,,,,,,
Drew Paxton,De Anza,JC,INF,Hitting,2026-02-26,.462,12,,39,,18,4,-,-,3,.564,12,-,6,.588,,,,,,,,,,,,,,,
Joe Dyer,De Anza,JC,INF,Hitting,2026-02-26,.375,8,,8,,3,-,-,-,4,.375,-,-,3,.375,,,,,,,,,,,,,,,
Keaton (KJ) Kovaly,Whittier,D3,P ,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,0.00,0,0,1,1,0,4.0,3,0,0,2,4,1.25
Grant Smith,College of Southern Nevada,JC,C ,Hitting,2026-02-26,.357,8,4,14,3,5,0,0,0,3,.357,1,0,4,.375,1,1,,,,,,,,,,,,,
Nick Valentine,Ohlone,JC,P,Pitching,2026-02-26,,,,,,,,,,,,,,,,,,6.00,0,,2,0,0,3.0,3,2,2,2,4,1.67
Caden Cuccia,Ohlone,JC,INF,Hitting,2026-02-26,.413,13,,46,,19,3,1,-,9,.522,10,2,6,.517,,,,,,,,,,,,,,,
